"ID","Pred","Actual_Result","OverallBrierScore","Per_Game_Brier"
"2024_1161_1438",0.39383766186097,1,0.216042670944816,0.367432780178176
"2024_1224_1447",0.426989702186486,0,0.216042670944816,0.182320205773304
"2024_1129_1160",0.49552299971541,0,0.216042670944816,0.245543043246958
"2024_1212_1286",0.471968849356325,1,0.216042670944816,0.278816896050083
"2024_1112_1253",0.785305931511705,1,0.216042670944816,0.0460935430440565
"2024_1103_1166",0.339686656177533,0,0.216042670944816,0.115387024385073
"2024_1173_1305",0.536479893235052,1,0.216042670944816,0.214850889375389
"2024_1140_1182",0.751085061809337,0,0.216042670944816,0.564128770073136
"2024_1211_1270",0.472718586761536,1,0.216042670944816,0.278025688746751
"2024_1228_1287",0.652223547306192,1,0.216042670944816,0.120948461048289
"2024_1235_1355",0.734485676716921,1,0.216042670944816,0.0704978558684715
"2024_1242_1359",0.302237790450857,1,0.216042670944816,0.486872101074902
"2024_1277_1280",0.50026818282634,1,0.216042670944816,0.249731889095688
"2024_1301_1403",0.469730544904408,1,0.216042670944816,0.281185695007376
"2024_1314_1447",0.809105770519946,1,0.216042670944816,0.0364406068487834
"2024_1246_1324",0.58335355865618,0,0.216042670944816,0.34030137439683
"2024_1332_1376",0.335678828628333,1,0.216042670944816,0.441322618732624
"2024_1389_1397",0.182821758902387,0,0.216042670944816,0.0334237955281625
"2024_1161_1400",0.435402653335623,0,0.216042670944816,0.189575470531701
"2024_1179_1450",0.474892474318909,0,0.216042670944816,0.225522862164736
"2024_1104_1158",0.366222874820118,1,0.216042670944816,0.401673444401276
"2024_1124_1159",0.594919738054505,1,0.216042670944816,0.164090018617831
"2024_1155_1307",0.327229899917939,1,0.216042670944816,0.452619607564426
"2024_1160_1196",0.339867897798147,1,0.216042670944816,0.435774392357438
"2024_1163_1391",0.891229574650931,1,0.216042670944816,0.0118310054306174
"2024_1181_1436",0.641387959396059,1,0.216042670944816,0.128602595666122
"2024_1213_1388",0.280048940487236,1,0.216042670944816,0.518329528093551
"2024_1222_1255",0.837994116634025,1,0.216042670944816,0.0262459062451897
"2024_1241_1458",0.731390834094255,1,0.216042670944816,0.0721508840085801
"2024_1266_1443",0.722888218388011,1,0.216042670944816,0.0767909395081706
"2024_1194_1321",0.666226279905181,0,0.216042670944816,0.443857456036297
"2024_1212_1345",0.0537031145382387,0,0.216042670944816,0.00288402451110719
"2024_1361_1412",0.478726261109489,1,0.216042670944816,0.271726310856893
"2024_1304_1401",0.313684696115556,0,0.216042670944816,0.0983980885771086
"2024_1395_1429",0.426582901951692,0,0.216042670944816,0.181972972237527
"2024_1120_1463",0.612172597095105,0,0.216042670944816,0.374755288634165
"2024_1112_1173",0.64200991293397,1,0.216042670944816,0.128156902437544
"2024_1166_1332",0.58669974514565,1,0.216042670944816,0.170817100662671
"2024_1211_1242",0.819334632510346,1,0.216042670944816,0.0326399750101716
"2024_1182_1228",0.183527220061363,0,0.216042670944816,0.0336822405034519
"2024_1235_1450",0.501623841213813,1,0.216042670944816,0.248378795646474
"2024_1301_1324",0.442509204986791,1,0.216042670944816,0.31079598652446
"2024_1277_1314",0.309995826165846,0,0.216042670944816,0.0960974122402452
"2024_1397_1400",0.658504125970554,1,0.216042670944816,0.116619431979135
"2024_1104_1213",0.49454447902639,1,0.216042670944816,0.255485283682703
"2024_1124_1155",0.57033750638123,0,0.216042670944816,0.32528487118516
"2024_1163_1321",0.85767786950013,1,0.216042670944816,0.0202555888300219
"2024_1181_1241",0.38741389363769,1,0.216042670944816,0.375261737708135
"2024_1222_1401",0.725722558827435,1,0.216042670944816,0.0752281147361699
"2024_1160_1266",0.407084017705952,0,0.216042670944816,0.16571739747162
"2024_1345_1429",0.734384347475939,1,0.216042670944816,0.0705516748657825
"2024_1361_1463",0.432428537771936,1,0.216042670944816,0.322137364735702
"2024_1104_1314",0.450865665227349,1,0.216042670944816,0.301548517626201
"2024_1112_1155",0.699175431143597,0,0.216042670944816,0.488846283514835
"2024_1163_1361",0.851642574615144,1,0.216042670944816,0.022009925666823
"2024_1228_1235",0.59657513760502,1,0.216042670944816,0.162751619598409
"2024_1181_1222",0.281473689066985,1,0.216042670944816,0.516280059503007
"2024_1266_1301",0.603599159879834,0,0.216042670944816,0.364331945807642
"2024_1211_1345",0.441289028728704,0,0.216042670944816,0.194736006876323
"2024_1166_1397",0.428016710004606,0,0.216042670944816,0.183198304043167
"2024_1104_1155",0.622797400374203,1,0.216042670944816,0.14228180116446
"2024_1163_1228",0.687501000312792,1,0.216042670944816,0.0976556248055054
"2024_1181_1301",0.693690316233211,0,0.216042670944816,0.481206254835732
"2024_1345_1397",0.665356516180371,1,0.216042670944816,0.111986261262938
"2024_1104_1163",0.204130148286901,0,0.216042670944816,0.0416691174396322
"2024_1301_1345",0.174974850617563,0,0.216042670944816,0.0306161983486386
"2024_1163_1345",0.601870472492782,1,0.216042670944816,0.158507120673121
