Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT,Luck,SS_NetRtg,SS_ORtg,SS_DRtg,NCSOS_NetRtg
1,Duke,ACC,39.4,129.1,89.7,66.3,-0.043,9.18,112.8,103.7,9.96
2,Auburn,SEC,37.67,130.7,93,68.6,0.063,18.31,117.2,98.9,11
3,Houston,B12,35.14,124.4,89.2,61.3,-0.001,13.2,113.4,100.2,3.25
4,Florida,SEC,33.97,126.8,92.9,69.5,-0.005,12.32,113.4,101.1,-1.18
5,Tennessee,SEC,31.4,118.5,87.1,64,0.03,14.83,116.7,101.9,-0.36
6,Alabama,SEC,29.44,127.3,97.8,75,0.029,18.25,117.7,99.5,12.59
7,Texas Tech,B12,27.59,124.3,96.7,65.9,-0.047,10.9,111.9,101,-4.19
8,Gonzaga,WCC,27.25,125.1,97.9,70.4,-0.092,7.05,111.5,104.5,9.83
9,Michigan St.,B10,26.9,118.1,91.2,67.8,-0.001,12.74,114.3,101.6,0.54
10,Wisconsin,B10,26.73,124,97.2,67.8,-0.044,13.32,114.6,101.2,0.72
11,Iowa St.,B12,26.49,119.5,93,69,-0.021,11.94,113.3,101.3,-0.89
12,Missouri,SEC,25.81,126.2,100.4,68.4,-0.031,11.42,112.9,101.4,-8.69
13,Arizona,B12,25.16,120.1,95,70.3,-0.053,15.47,115.5,100.1,6.06
14,Maryland,B10,24.8,118.5,93.7,70.1,-0.035,9.85,113.1,103.3,-9.94
15,St. John's,BE,24.66,113.8,89.1,70.2,-0.026,8.48,111.8,103.3,0.33
16,Purdue,B10,24.65,124.1,99.4,65.4,-0.005,15.98,116,100,10.85
17,Clemson,ACC,24.61,120.9,96.3,64.1,-0.03,8.71,112.6,103.9,4.4
18,Kentucky,SEC,24.41,125.3,100.9,70.9,-0.019,18,117,99,4.74
19,Illinois,B10,24.28,121.9,97.6,71.6,-0.035,16.06,115.2,99.1,3.68
20,Saint Mary's,WCC,23.57,117.1,93.5,62.2,0.015,5.7,111.4,105.7,5.8
21,Kansas,B12,23.42,115.2,91.7,68.9,-0.037,15.29,115.1,99.8,8.68
22,Texas A&M,SEC,22.99,115.9,93,66.8,0.011,16.15,115.8,99.7,7.77
23,Marquette,BE,22.56,118.2,95.7,67.6,0.006,11.36,113.1,101.7,9.28
24,Louisville,ACC,22.53,118.8,96.3,69.2,0.051,10.38,113.4,103,7.74
25,BYU,B12,22.3,123.4,101.1,67.3,0.01,9.93,111.6,101.6,-6.81
26,Mississippi,SEC,22.08,118,96,68.4,0.007,14.35,114.9,100.6,0.07
27,UCLA,B10,21.69,116.8,95.1,65,-0.005,12.77,114.2,101.4,-4.22
28,VCU,A10,21.26,116.9,95.7,66.6,-0.059,0.77,107.4,106.6,-3.27
29,Michigan,B10,21.18,117.1,95.9,69.9,0.073,13.35,114.1,100.8,4.43
30,Mississippi St.,SEC,20.38,119,98.6,68,0.059,15.29,115.8,100.5,1.73
31,Baylor,B12,20.32,121.1,100.7,65.4,-0.046,15.45,114.1,98.6,8.09
32,Ohio St.,B10,19.55,118.1,98.5,67.6,-0.064,14.81,115.4,100.6,3.7
33,Oregon,B10,19.53,117.7,98.2,68.1,0.085,14.36,115.1,100.8,4.67
34,Georgia,SEC,18.95,115.5,96.6,66.8,-0.002,13.94,114.2,100.3,-4.53
35,UC San Diego,BW,18.57,116.2,97.7,66.3,0.003,-1.25,106.6,107.9,-1.64
36,Arkansas,SEC,19.33,114.4,95.1,69.4,-0.007,15.21,115.3,100.1,-2.61
36,Connecticut,BE,18.29,122.3,104,64.4,-0.019,10.47,112.6,102.2,0.16
37,Creighton,BE,18.08,116.1,98,68,0.039,12.13,112.9,100.8,6.47
38,Vanderbilt,SEC,17.8,119.8,102,69.5,0.061,12.98,114.2,101.3,-5.9
39,North Carolina,ACC,17.21,119.2,102,71,-0.003,11.72,113.9,102.2,13.87
40,New Mexico,MWC,17.17,113.7,96.5,73.4,0.006,6.55,109.7,103.2,5.85
43,Indiana,B10,16.66,115.4,98.7,68.4,0.031,13.1,114.8,101.7,1.91
44,Xavier,BE,16.61,114.8,98.2,69.2,-0.016,9.6,111.5,101.9,-0.35
45,Oklahoma,SEC,16.57,118.3,101.8,68.8,-0.005,13.85,114.2,100.3,-4.53
46,SMU,ACC,16.57,118.6,102,69.1,0.03,6.25,111.2,104.9,-2.78
47,Memphis,Amer,16.53,114.7,98.2,70.7,0.079,7.95,112.7,104.8,16.72
48,Boise St.,MWC,16.42,116.6,100.2,66,-0.003,6.07,109.8,103.7,2.47
49,Northwestern,B10,16.34,115.1,98.7,65,-0.092,11.98,113.9,101.9,-1.46
50,Cincinnati,B12,16.16,112.6,96.5,65.6,-0.034,11.73,113.3,101.5,-4.61
51,Texas,SEC,15.99,116.7,100.7,67.5,-0.075,12.76,113.8,101,-7.74
52,Nebraska,B10,15.66,113.2,97.5,67.6,0.012,12.53,114.2,101.7,-2.01
53,West Virginia,B12,15.58,110.1,94.6,64.4,0.012,14.31,113.8,99.5,1.83
54,Santa Clara,WCC,15.17,116.9,101.7,69.3,-0.036,5.45,110.5,105.1,4.88
55,Villanova,BE,15.16,119.7,104.5,63.2,-0.067,8.07,111,102.9,-5.42
56,Utah St.,MWC,14.69,121,106.3,68.2,0.104,6.46,109.8,103.4,1.59
57,Colorado St.,MWC,14.47,115.4,100.9,66.3,0.012,5.58,109.4,103.8,2.23
58,Pittsburgh,ACC,14.13,117.1,103,66.4,-0.044,10.04,113.4,103.4,4.75
59,McNeese,Slnd,13.66,114.8,101.1,65.6,-0.026,-1.28,106,107.3,9.78
60,Drake,MVC,13,113.4,100.4,59.4,0.008,0,108.1,108.1,-1.77
61,North Texas,Amer,12.8,110.5,97.7,60.7,-0.005,2.41,109.7,107.3,2.73
62,USC,B10,12.49,116.6,104.1,68.7,-0.045,12.39,114,101.6,-1.03
63,San Francisco,WCC,12.47,112.3,99.9,67.7,0.062,3.64,109.9,106.3,-0.54
64,Penn St.,B10,12.43,114.6,102.2,70.1,-0.104,9.35,112.4,103.1,-9.82
65,Arizona St.,B12,12.23,112.3,100.1,68.8,-0.015,15.33,114.8,99.5,9.07
66,Kansas St.,B12,12.14,111.5,99.4,67.6,-0.06,12.45,112.4,100,-0.53
67,South Carolina,SEC,11.69,110.5,98.8,65.7,-0.066,14.22,115.5,101.3,-0.96
68,Utah,B12,11.61,113.6,102,68.9,-0.018,10.4,112.3,101.9,-8.53
69,Rutgers,B10,11.55,116.2,104.6,69,-0.031,13.48,114,100.5,-1.74
70,UC Irvine,BW,11.52,105.6,94.1,68.9,0.063,0.73,107.7,107,4.76
71,Butler,BE,11.5,116.6,105.1,67.9,-0.09,10.97,112.5,101.6,3.81
72,Yale,Ivy,11.12,115.9,104.7,68.1,-0.072,-2.38,107,109.3,-0.08
73,Liberty,CUSA,11.1,109.2,98.1,65.7,-0.015,0.33,106.5,106.1,-2.19
74,Iowa,B10,11.05,118,106.9,70.1,-0.036,11.33,113.8,102.4,-7.5
75,Saint Joseph's,A10,10.88,111.6,100.8,68.3,-0.07,1.15,107.1,106,-3.57
76,Nevada,MWC,10.68,113.8,103.1,63.9,-0.086,5.32,109.8,104.5,3.17
77,LSU,SEC,10.42,111.2,100.8,68.1,-0.064,13.05,114.2,101.2,-6.44
78,Wake Forest,ACC,10.32,109.1,98.7,67.5,0.11,8.87,112.3,103.4,-1.45
79,Dayton,A10,10.32,116.1,105.8,66.2,0.032,4.66,108.9,104.2,5.29
80,UCF,B12,10.27,115.5,105.3,72.2,0.044,12.37,112.4,100.1,-0.21
83,George Mason,A10,9.52,105.3,95.8,64.8,0.077,1.31,108.2,106.9,-4.67
84,Lipscomb,ASun,9.48,113.1,103.6,66.5,-0.042,-3.86,106.5,110.4,4.58
85,Georgetown,BE,9.42,108.3,98.9,68.5,-0.027,6.77,110.4,103.7,-11.14
86,Stanford,ACC,9.34,112.9,103.5,66.8,0.069,4.87,109.9,105,-3.45
87,Arkansas St.,SB,8.98,110.2,101.2,70,-0.06,-2.41,105.6,108,1.63
88,High Point,BSth,8.79,118.6,109.8,67,0.005,-5.04,105.2,110.2,-5.09
89,Minnesota,B10,8.48,111.2,102.7,62.6,0.053,11.31,113.3,102,-5.24
90,Florida St.,ACC,8.34,110,101.7,70.2,0.011,6.71,111.2,104.5,-1.83
91,UNLV,MWC,7.77,108.2,100.5,65.9,0.001,6.02,110.7,104.6,4.1
92,Providence,BE,7.71,113,105.3,66.6,-0.072,10.43,112.6,102.2,0.73
93,Bradley,MVC,7.66,112.4,104.7,66.1,0.088,0.48,108.8,108.3,-2.12
94,Notre Dame,ACC,7.53,114,106.5,65.2,-0.103,7.92,111.8,103.9,0.87
95,Colorado,B12,7.25,107.6,100.3,67.6,-0.063,13.02,113.7,100.7,-1.11
96,Georgia Tech,ACC,6.94,108.3,101.3,68.9,-0.01,6.47,111.3,104.8,-6.98
97,Oklahoma St.,B12,6.5,108.6,102.1,71.4,0.08,12.11,113.6,101.4,-2.29
98,Grand Canyon,WAC,6.38,105.8,99.5,72,0.04,-2.56,104.3,106.8,-2.05
99,CSUN,BW,6.33,110.1,103.8,72.4,0.024,-2.03,105.7,107.7,-4.41
100,Northern Iowa,MVC,6.22,110.5,104.2,65.5,0.012,0.88,108.3,107.4,-0.84
101,St. Bonaventure,A10,6.19,108,101.8,64.1,0.01,1.69,108.1,106.5,-3.16
102,Virginia,ACC,6.18,111.8,105.6,61.3,0.019,9.77,112.5,102.8,1.73
103,Akron,MAC,6.1,112.1,106,72.3,0.067,-3.07,105.6,108.7,1.93
104,Washington,B10,6,109.9,103.9,68.2,0.015,12.96,114.2,101.2,-3.29
105,Saint Louis,A10,5.59,109.4,103.9,67.5,-0.015,3.88,108.6,104.7,0.4
106,Samford,SC,5.44,113.3,107.8,71.1,0.017,-2.24,106.3,108.5,0.43
107,UAB,Amer,5.19,117.4,112.2,69.4,-0.041,-1.54,106.3,107.9,-7.44
108,UNC Wilmington,CAA,5.08,113.2,108.1,65.8,0.039,-4.03,105.5,109.5,-4
109,Troy,SB,5.01,106.8,101.8,66.3,-0.013,-2.39,105.9,108.3,1.41
110,Chattanooga,SC,5.01,116.2,111.2,66.9,0.064,-1.97,105.8,107.8,0.97
111,North Alabama,ASun,4.94,112.6,107.7,66.9,0.012,-5.32,105.3,110.7,-2.09
112,Florida Atlantic,Amer,4.44,113.1,108.7,69.5,-0.004,3.62,108.8,105.2,4.92
113,Jacksonville St.,CUSA,4.43,109.9,105.5,65.4,0.051,2.43,108.1,105.7,0.58
114,Louisiana Tech,CUSA,4.27,110.9,106.6,64.7,0.056,1.9,106.7,104.8,-1.31
115,California,ACC,4.18,111.4,107.2,67.9,-0.027,6.49,111.6,105.1,-1.05
116,Middle Tennessee,CUSA,4.17,109.8,105.7,68.5,0.123,3.72,108.1,104.3,3.73
117,South Alabama,SB,4.14,107.7,103.5,63.3,-0.024,-3.84,105,108.8,-2.12
118,George Washington,A10,4.09,106.8,102.7,67.4,-0.031,-1.87,105.3,107.1,-10.72
119,Kent St.,MAC,3.92,106.9,103,66,0.008,-2.49,106.6,109.1,2.68
120,South Dakota St.,Sum,3.87,111,107.1,69.2,-0.018,-1.01,109,110,4.55
123,Syracuse,ACC,3.38,110.7,107.3,68.8,0.025,8.62,112.4,103.7,3.08
124,Wichita St.,Amer,3.32,108.4,105.1,68.7,0.045,2.38,108.5,106.2,1.98
125,St. Thomas,Sum,3.32,114.7,111.4,67.9,-0.002,-2.53,107.8,110.3,0.04
126,North Dakota St.,Sum,3.15,116.2,113.1,65.1,0.013,-2.31,108.4,110.7,0.44
127,N.C. State,ACC,3.02,108.3,105.3,65.2,-0.08,7.54,111.8,104.3,-4.62
128,Loyola Chicago,A10,2.94,107.6,104.7,67.5,0.074,0.4,106.9,106.5,-8.7
129,UNC Greensboro,SC,2.81,108.6,105.8,64.2,-0.006,-1.21,107.8,109,2.43
130,Northern Colorado,BSky,2.79,112.1,109.3,69.4,0.065,-3.26,106.6,109.8,2.82
131,Wofford,SC,2.78,112.2,109.4,64.4,-0.052,0.38,107.9,107.5,6.27
132,Belmont,MVC,2.76,114.1,111.4,70.8,0.092,0.19,107.4,107.2,-1.09
133,East Tennessee St.,SC,2.74,107.8,105.1,65.4,-0.071,-2.83,106.5,109.3,-2.19
134,Duquesne,A10,2.58,106.3,103.7,65.4,-0.105,1.59,107.5,105.9,-1.7
135,New Mexico St.,CUSA,2.57,103.3,100.8,65.4,-0.018,2.56,107.2,104.6,2.27
136,DePaul,BE,2.56,108.7,106.2,67.3,-0.074,8.58,111.2,102.6,-9
137,Cornell,Ivy,2.43,114.3,111.9,71.1,-0.027,-1.94,106.5,108.4,-2.03
138,Milwaukee,Horz,2.3,108.5,106.2,68.9,0.012,-2.56,106.6,109.2,3.02
139,Davidson,A10,2.29,111.3,109,65.6,-0.001,0.7,107,106.3,-4.03
140,Kennesaw St.,CUSA,2.24,105.8,103.5,70.8,0.027,3.26,107.6,104.3,3.84
141,Illinois St.,MVC,2.09,113.7,111.6,65.8,-0.011,1.01,108.5,107.5,-0.69
142,Rhode Island,A10,2.02,109.2,107.2,70.6,0.016,-0.02,106.4,106.4,-5.65
143,UC Riverside,BW,1.9,110.7,108.8,67.4,0.13,3.16,108.7,105.6,9.24
144,Western Kentucky,CUSA,1.87,104.4,102.6,72.4,0.034,3.52,108,104.5,2.72
145,UC Santa Barbara,BW,1.77,109.3,107.5,65.5,-0.015,-2.9,105.2,108.1,-7.63
146,Virginia Tech,ACC,1.56,108.4,106.8,65.5,0.031,6.76,111.5,104.7,-0.26
147,Murray St.,MVC,1.39,106.5,105.2,65.1,-0.039,2.28,108.9,106.6,1.94
148,Furman,SC,1.38,108.3,106.9,66.1,0.13,-1.62,106.6,108.2,0.85
149,Seattle,WAC,1.38,106.2,104.8,66,-0.176,1.2,106.1,104.9,5.66
150,Towson,CAA,0.97,106.8,105.8,63.7,0.097,-1.56,106.4,108,3.93
151,UTEP,CUSA,0.9,106,105.1,68.8,0.036,2.44,106.9,104.4,1.48
152,Robert Morris,Horz,0.87,106.1,105.2,68.3,0.083,-5.88,105.2,111.1,-8.14
153,Charleston,CAA,0.84,106.9,106.1,70.7,0.153,-2.08,106.3,108.4,0.56
154,James Madison,SB,0.83,111.4,110.6,65,0.066,-1.06,106.3,107.4,4.5
155,Tulane,Amer,0.6,107.9,107.3,67.1,-0.019,-1.8,106.5,108.3,-5.71
156,Radford,BSth,0.55,110.3,109.8,63.2,0.065,-1.65,107.6,109.2,2.18
157,Loyola Marymount,WCC,0.49,103.8,103.3,67.2,0.075,3.81,109.9,106.1,0.46
158,Illinois Chicago,MVC,0.33,108.6,108.2,69.6,0.067,2.21,108.4,106.2,3.31
159,Bryant,AE,0.26,107.4,107.1,72.5,-0.008,-4.84,104.4,109.3,0.88
160,Appalachian St.,SB,0.21,101.8,101.6,63.6,-0.017,-2.3,107.2,109.5,4.1
163,Purdue Fort Wayne,Horz,-0.13,110.4,110.5,69.9,-0.001,-3.4,105.7,109.1,0.85
164,Cal Baptist,WAC,-0.23,106.9,107.1,66.4,-0.026,-0.38,105.3,105.7,0.59
165,Miami OH,MAC,-0.25,108.1,108.3,69.4,0.095,-4.94,104.5,109.4,-2.39
166,Cleveland St.,Horz,-0.27,104.7,104.9,66,0.04,-3.74,105.8,109.6,0.19
167,Marshall,SB,-0.41,106.8,107.2,69.1,0.005,-3.83,105.9,109.7,-3.27
168,Sam Houston St.,CUSA,-0.46,110.4,110.8,67.8,-0.072,5.58,108.4,102.8,7.96
169,Florida Gulf Coast,ASun,-0.58,108.6,109.2,65.5,-0.026,-3,106.6,109.6,4.36
170,Lamar,Slnd,-0.59,103.4,104,65.6,0.045,-1.96,105.9,107.8,4.31
171,Nicholls,Slnd,-0.59,107.4,108,68.4,0.059,-1.09,105.5,106.6,8.95
172,San Jose St.,MWC,-0.59,108.8,109.4,66.4,0.004,5.21,109.6,104.4,-2.74
173,Temple,Amer,-0.72,110.2,110.9,69,0.008,0.79,107.8,107,-1.26
174,Winthrop,BSth,-0.74,109.1,109.8,73,0.085,-3.39,106.3,109.7,-2.41
175,Central Connecticut,NEC,-0.8,101.8,102.6,66.2,0.036,-10.04,101.6,111.6,-1.6
176,Jacksonville,ASun,-0.93,102.3,103.3,67.8,0.067,-2.23,108,110.2,7.46
177,Ohio,MAC,-1.14,107.2,108.3,70.6,-0.041,-2.64,106.6,109.3,-0.57
178,Montana,BSky,-1.15,110.6,111.8,67.3,0.19,-1.03,107.4,108.5,9.69
179,Nebraska Omaha,Sum,-1.3,111.3,112.6,67.7,0.069,-1.71,107.7,109.4,1
180,Norfolk St.,MEAC,-1.36,109.5,110.8,66.7,0.024,-5.83,104,109.9,3.59
181,Wyoming,MWC,-1.45,104.7,106.1,65.2,-0.006,6.15,110.7,104.6,-2.39
182,Boston College,ACC,-1.56,105.1,106.7,66.8,0.023,5,110.2,105.2,-6.02
183,Eastern Kentucky,ASun,-1.59,110.2,111.8,67.9,0.019,-2.08,106.9,108.9,5.14
184,Rice,Amer,-1.7,108.1,109.8,65.6,-0.063,-1.33,106.1,107.5,-7.12
185,Montana St.,BSky,-1.72,106.5,108.3,66.2,-0.075,-1.38,106.9,108.3,5.88
186,Elon,CAA,-1.9,107.3,109.1,65.3,-0.03,-2.77,106,108.8,0.18
187,Dartmouth,Ivy,-2.02,101.8,103.8,71.4,-0.044,-3.35,106.7,110.1,-5.13
188,Southern Illinois,MVC,-2.32,105.7,108.1,68.3,-0.046,1.73,109.4,107.6,3.23
189,Central Michigan,MAC,-2.37,106.8,109.2,67.6,-0.099,-0.83,107.3,108.1,11.98
190,Texas St.,SB,-2.38,111.1,113.5,66,-0.028,-1.74,105.3,107,0.51
191,Princeton,Ivy,-2.38,105.5,107.9,66.9,0.153,-0.23,107.8,108.1,0.52
192,Miami FL,ACC,-2.41,114,116.4,67.5,-0.152,8.5,111.3,102.8,-2.1
193,Seton Hall,BE,-2.48,100.1,102.5,64.6,-0.049,9.83,112,102.2,-1.95
194,Southeastern Louisiana,Slnd,-2.53,105.3,107.8,67.4,0.024,-3.25,105.5,108.8,-0.21
195,South Carolina St.,MEAC,-2.67,103.6,106.3,69.1,-0.051,-6.68,104.1,110.8,1.34
196,Portland St.,BSky,-2.67,101.5,104.2,68.6,0.022,-3.67,106.8,110.5,-0.56
197,Oakland,Horz,-2.7,107.1,109.8,64,-0.001,0.62,108.1,107.5,14.24
198,South Florida,Amer,-2.7,104,106.7,68.5,-0.04,0.3,108.9,108.6,-4.75
199,Idaho St.,BSky,-2.71,106.9,109.7,66.2,-0.067,-3.13,106.4,109.6,2.99
200,UTSA,Amer,-2.73,107.7,110.4,70.3,-0.052,1.87,108.2,106.4,1.79
203,Drexel,CAA,-2.95,102,104.9,63.2,-0.042,-4.31,106,110.3,-4.75
204,Merrimack,MAAC,-3.01,100.4,103.4,65.1,0.006,-4.63,105.1,109.7,7.87
205,Massachusetts,A10,-3.05,103.8,106.9,70.6,-0.034,1.49,107,105.5,-2.67
